Name,Web of Science Documents,Times Cited,% Docs Cited,Rank,Category Normalized Citation Impact,International Collaborations,Country or Region,% International Collaborations,Times Cited without Self-Citations,% Documents in Top 1%,% Industry Collaborations,% Documents in Top 10%,Industry Collaborations,% Highly Cited Papers,Average Percentile,Highly Cited Papers,H-Index,Documents in Q1 Journals,H-Index without Self-Citations,Documents Cited,% Documents in Q1 Journals,Documents in Top 1%,Documents in Top 10%,All Open Access Documents,Gold Documents,Gold - Hybrid Documents,% All Open Access Documents,% Gold Documents,% Gold - Hybrid Documents
University of Buenos Aires,10198,71864,72.13,1,0.8778492057266132,4942,ARGENTINA,48.46,61406,0.86,0.72,7.46,73,0.56,38.94096927828986,57,75,3492,73,7356,46.23,88,761,5739,2806,704,56.28,27.52,6.9
National University of La Plata,6005,41911,73.59,2,0.8186414487926728,3149,ARGENTINA,52.44,35381,0.62,0.67,7.26,40,0.4,38.98191447127394,24,61,2004,56,4419,44.35,37,436,3514,1537,420,58.52,25.6,6.99
Centre National de la Recherche Scientifique (CNRS),1772,30059,81.26,3,1.8412838600451469,1772,FRANCE,100.0,24706,4.74,2.2,20.37,39,3.16,54.41929401805869,56,73,857,71,1440,62.37,84,361,1523,608,344,85.95,34.31,19.41
National University of Cordoba,3986,28329,74.46,4,0.841099924736578,2000,ARGENTINA,50.18,24639,0.98,0.43,6.37,17,0.53,38.39758359257401,21,50,1306,49,2968,43.8,39,254,2029,874,222,50.9,21.93,5.57
University of California System,1175,24636,82.04,5,2.480532765957447,1175,USA,100.0,20574,6.04,3.57,26.3,42,3.83,60.29749693617022,45,67,633,66,964,70.02,71,309,1020,511,281,86.81,43.49,23.91
Consejo Superior de Investigaciones Cientificas (CSIC),1448,24376,82.04,6,1.7470302486187848,1448,SPAIN,100.0,20620,3.8,0.9,17.27,13,2.69,54.33322203038674,39,63,741,60,1188,65.46,55,250,1227,554,268,84.74,38.26,18.51
Helmholtz Association,883,18420,82.79,7,1.9825375990939977,883,GERMANY (FED REP GER),100.0,15218,4.98,2.15,21.52,19,3.51,56.43200022650057,31,58,453,55,731,65.27,44,190,767,405,218,86.86,45.87,24.69
Universidade de Sao Paulo,1110,17186,81.8,8,1.8439161261261263,1110,BRAZIL,100.0,14781,4.05,0.54,20.36,6,2.16,54.55001036036036,24,54,524,49,908,58.35,45,226,854,428,187,76.94,38.56,16.85
University of London,704,16041,80.54,9,2.784770738636364,704,ENGLAND,100.0,14071,7.67,2.41,28.27,17,4.26,59.93413650568182,30,54,381,51,567,70.3,54,199,658,366,187,93.47,51.99,26.56
University of Oxford,613,14984,81.89,10,2.921893311582382,613,ENGLAND,100.0,13173,7.34,2.94,29.36,18,5.22,61.404423817292006,32,51,331,48,502,70.73,45,180,587,340,156,95.76,55.46,25.45
United States Department of Energy (DOE),650,14940,83.08,11,2.067761846153846,650,USA,100.0,12038,3.85,2.31,22.15,15,2.77,58.22282523076923,18,50,345,46,540,67.91,25,144,591,333,161,90.92,51.23,24.77
Max Planck Society,816,14337,83.09,12,1.8421230392156864,802,GERMANY (FED REP GER),98.28,12130,3.8,1.84,21.08,15,2.7,56.862461274509805,22,51,460,48,678,71.32,31,172,747,393,215,91.54,48.16,26.35
University of Cambridge,582,14199,81.1,13,2.458990206185567,582,ENGLAND,100.0,12494,6.53,3.26,28.18,19,4.98,61.06354329896907,29,53,331,50,472,72.91,38,164,565,327,167,97.08,56.19,28.69
Sorbonne Universite,777,14196,81.85,14,2.027460617760618,777,FRANCE,100.0,12116,4.5,1.54,21.62,12,3.09,56.849201415701415,24,52,418,49,636,68.08,35,168,716,367,191,92.15,47.23,24.58
National University of the Littoral,1989,14021,76.02,15,0.7289058823529413,755,ARGENTINA,37.96,12021,0.4,0.45,4.58,9,0.35,38.90967290095525,7,39,729,37,1512,47.93,8,91,842,326,108,42.33,16.39,5.43
Harvard University,616,13938,82.79,16,2.4434227272727274,616,USA,100.0,12306,5.19,2.92,27.11,18,2.6,61.155634902597406,16,49,338,45,510,72.07,32,167,576,343,153,93.51,55.68,24.84
Universite Paris Cite,837,13792,79.93,17,1.9011013142174433,837,FRANCE,100.0,11678,4.18,1.31,21.27,11,2.87,55.207458303464755,24,52,438,48,669,67.18,35,178,771,400,198,92.11,47.79,23.66
Universite Paris Saclay,770,13613,82.21,18,1.9675719480519482,770,FRANCE,100.0,11098,5.06,1.43,22.86,11,3.38,57.284472597402605,26,51,397,46,633,66.95,39,176,713,380,168,92.6,49.35,21.82
University College London,577,13563,80.76,19,2.6001072790294626,577,ENGLAND,100.0,11929,6.41,2.08,26.69,12,3.64,59.73574800693242,21,49,325,44,466,72.54,37,154,554,324,153,96.01,56.15,26.52
Instituto Nacional de Tecnologia Agropecuaria (INTA),1711,13562,79.37,20,0.9679493278784338,668,ARGENTINA,39.04,12066,0.82,0.64,7.13,11,0.76,42.73353325540619,13,39,640,36,1358,47.62,14,122,820,434,96,47.93,25.37,5.61
Stanford University,490,13328,81.84,21,2.6802587755102043,490,USA,100.0,11769,7.14,2.45,28.78,12,4.69,61.493185714285715,23,47,286,43,401,75.07,35,141,478,306,133,97.55,62.45,27.14
University Nacional Cuyo Mendoza,1776,13176,75.34,22,0.818524268018018,953,ARGENTINA,53.66,11505,0.9,1.24,6.98,22,0.51,39.6829856981982,9,40,551,39,1338,42.03,16,124,985,432,104,55.46,24.32,5.86
Chinese Academy of Sciences,617,13118,81.69,23,2.4163701782820097,617,CHINA MAINLAND,100.0,10381,6.81,1.46,24.8,9,4.21,59.10935218800648,26,50,328,48,504,68.48,42,153,563,324,159,91.25,52.51,25.77
National University of Mar del Plata,1751,13002,75.79,24,0.7700351227869788,698,ARGENTINA,39.86,11557,0.8,0.4,6.62,7,0.51,38.40455008566534,9,44,554,41,1327,41.44,14,116,768,343,78,43.86,19.59,4.45
University of British Columbia,531,12853,82.3,25,2.292051600753296,531,CANADA,100.0,11328,5.84,1.13,26.74,6,3.39,60.509563465160085,18,49,288,45,437,68.57,31,142,499,318,138,93.97,59.89,25.99
Czech Academy of Sciences,593,12402,81.28,26,2.279738954468803,593,CZECH REPUBLIC,100.0,10635,5.9,0.84,25.8,5,3.37,58.690445699831365,20,49,312,45,482,69.64,35,153,554,333,156,93.42,56.16,26.31
Universidade de Lisboa,543,12282,81.77,27,2.5297160220994477,543,PORTUGAL,100.0,10692,6.26,1.47,25.6,8,4.05,60.067407182320444,22,50,298,45,444,70.28,34,139,525,315,151,96.69,58.01,27.81
University of Texas System,633,12229,82.78,28,2.220936176935229,633,USA,100.0,10583,5.37,2.84,24.8,18,3.32,59.721227172195896,21,50,339,46,524,68.07,34,157,579,339,154,91.47,53.55,24.33
Pennsylvania Commonwealth System of Higher Education (PCSHE),587,12224,80.92,29,2.216186371379898,587,USA,100.0,10474,5.45,1.7,26.75,10,2.9,59.434581090289605,17,50,312,46,475,68.87,32,157,559,321,154,95.23,54.68,26.24
National University of Rosario,1651,11977,73.59,30,0.6903826165960024,841,ARGENTINA,50.94,10583,0.18,0.85,5.81,14,0.3,37.78418164748638,5,40,579,39,1215,47.38,3,96,953,451,79,57.72,27.32,4.78
Russian Academy of Sciences,438,11901,90.87,31,2.576021232876712,438,RUSSIA,100.0,10499,8.45,2.28,28.77,10,5.94,66.74530776255708,26,49,280,45,398,70.18,37,126,414,248,122,94.52,56.62,27.85
Autonomous University of Barcelona,633,11839,78.67,32,1.9742611374407584,633,SPAIN,100.0,10120,4.58,0.79,21.01,5,2.37,55.610102369668255,15,46,350,42,498,71.87,29,133,579,345,152,91.47,54.5,24.01
Columbia University,522,11834,80.84,33,2.209443103448276,522,USA,100.0,10377,5.17,0.77,25.1,4,3.07,59.349357279693486,16,47,280,43,422,71.25,27,131,489,312,132,93.68,59.77,25.29
University of Cape Town,492,11743,81.3,34,2.55957174796748,492,SOUTH AFRICA,100.0,10382,6.3,0.41,26.83,2,4.47,59.995794715447154,22,50,272,45,400,71.02,31,132,475,305,138,96.54,61.99,28.05
Duke University,468,11693,81.2,35,2.436064743589744,468,USA,100.0,10282,5.34,2.35,25.43,11,3.63,59.8889685897436,17,46,262,43,380,71.58,25,119,457,293,130,97.65,62.61,27.78
Polish Academy of Sciences,511,11557,83.37,36,2.3957483365949117,511,POLAND,100.0,9993,6.07,1.17,28.18,6,4.11,61.18868630136987,21,49,278,45,426,69.5,31,144,505,307,150,98.83,60.08,29.35
University of Washington,532,11491,81.39,37,2.2031231203007517,532,USA,100.0,9952,5.64,1.88,26.5,10,3.57,60.321968796992486,19,48,296,43,433,71.67,30,141,510,316,140,95.86,59.4,26.32
University of Wisconsin System,593,11453,80.61,38,2.076972344013491,593,USA,100.0,9622,4.89,1.85,23.95,11,2.87,58.15183406408095,17,48,321,43,478,69.93,29,142,540,330,150,91.06,55.65,25.3
Universidad Nacional del Comahue,1142,11380,78.63,39,1.2662514010507882,571,ARGENTINA,50.0,10163,2.28,0.18,10.68,2,1.23,44.03350840630473,14,45,396,43,898,45.57,26,122,513,219,69,44.92,19.18,6.04
National University of the South,1631,11373,75.97,40,0.700303188228081,622,ARGENTINA,38.14,10010,0.74,0.18,5.7,3,0.49,37.186091845493564,8,37,462,36,1239,39.02,12,93,721,306,68,44.21,18.76,4.17
Aix-Marseille Universite,541,11266,79.3,41,2.00532292051756,541,FRANCE,100.0,9746,4.62,2.03,23.84,11,2.77,57.62357245841036,15,48,297,43,429,72.09,25,129,519,311,145,95.93,57.49,26.8
Universite Grenoble Alpes (UGA),564,11181,81.56,42,1.9938363475177305,564,FRANCE,100.0,9546,4.26,2.3,24.29,13,2.84,58.2225390070922,16,49,296,43,460,68.36,24,137,531,310,149,94.15,54.96,26.42
Communaute Universite Grenoble Alpes,564,11181,81.56,42,1.9938363475177305,564,FRANCE,100.0,9546,4.26,2.3,24.29,13,2.84,58.2225390070922,16,49,296,43,460,68.36,24,137,531,310,149,94.15,54.96,26.42
Michigan State University,473,11152,80.97,44,2.2272689217758983,473,USA,100.0,9730,6.55,2.11,27.48,10,3.81,60.68102748414376,18,45,267,41,383,72.95,31,130,464,299,131,98.1,63.21,27.7
University of Arizona,522,11083,81.23,45,2.290483908045977,522,USA,100.0,9689,5.56,1.15,25.67,6,4.21,59.65065019157089,22,46,284,42,424,71.18,29,134,496,304,128,95.02,58.24,24.52
Hungarian Academy of Sciences,368,11053,88.32,46,2.5040203804347825,368,HUNGARY,100.0,9876,7.88,1.09,27.72,4,6.25,64.99446548913043,23,46,242,42,325,72.89,29,102,360,226,109,97.83,61.41,29.62
Lund University,444,11049,80.63,47,2.583897972972973,444,SWEDEN,100.0,9579,6.31,1.35,26.8,6,4.5,60.386183108108106,20,45,247,41,358,72.43,28,119,437,283,122,98.42,63.74,27.48
University of California Berkeley,530,11022,82.64,48,2.265601886792453,530,USA,100.0,9396,5.09,2.26,24.72,12,3.4,60.89502075471698,18,49,295,43,438,71.08,27,131,502,304,141,94.72,57.36,26.6
University of Toronto,521,10984,80.04,49,2.2227744721689064,521,CANADA,100.0,9569,6.14,1.73,26.68,9,3.84,59.8142472168906,20,47,291,43,417,72.75,32,139,500,312,145,95.97,59.88,27.83
University of Washington Seattle,523,10983,81.26,50,2.1669992351816445,523,USA,100.0,9456,5.54,1.91,26.0,10,3.44,60.05204435946463,18,47,293,43,425,72.17,29,136,501,314,137,95.79,60.04,26.2
University of Freiburg,481,10930,80.87,51,2.7040561330561332,481,GERMANY (FED REP GER),100.0,9644,6.03,2.08,25.57,10,3.74,60.20940582120582,18,47,270,43,389,71.62,29,123,461,305,135,95.84,63.41,28.07
University of Illinois System,519,10907,80.73,52,2.075368978805395,519,USA,100.0,9109,5.01,0.96,23.7,5,3.08,57.75376647398844,16,46,281,42,419,68.2,26,123,487,303,135,93.83,58.38,26.01
