Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,All Open Access Documents,Category Normalized Citation Impact,% Hot Papers,Journal Normalized Citation Impact,ISSN,% Highly Cited Papers,Publisher (unified),Source Type,WoS Categories,% All Open Access Documents,Journal Impact Factor,JIF Quartile,Documents in Top 1%,Documents in Top 10%,Hot Papers,% Documents in Top 1%,% Documents in Top 10%,Highly Cited Papers,Times Cited without Self-Citations,International Collaborations,% International Collaborations,Immediacy Index,Average JIF Percentile,Gold Documents,Gold - Hybrid Documents,% Gold Documents,% Gold - Hybrid Documents
SCIENTIFIC REPORTS,443,4116,1,86.91,443,1.0667961625282167,0.0,0.8848081264108353,2045-2322,0.23,Springer Nature (Unified),Journal,MULTIDISCIPLINARY SCIENCES,100.0,4.6,Q2,4,49,0,0.9,11.06,1,3934,293,66.14,0.9,70.5,440,0,99.32,0.0
SCIENCE OF THE TOTAL ENVIRONMENT,207,3486,2,88.89,52,1.2650347826086958,0.0,0.8143961352657005,0048-9697,1.93,Elsevier (Unified),Journal,ENVIRONMENTAL SCIENCES,25.12,9.8,Q1,2,30,0,0.97,14.49,4,3006,113,54.59,2.2,90.7,0,15,0.0,7.25
EUROPEAN PHYSICAL JOURNAL C,150,2579,3,87.33,150,1.667866,0.0,1.5452,1434-6044,2.67,Springer Nature (Unified),Journal,"PHYSICS, PARTICLES & FIELDS",100.0,4.4,Q2,4,31,0,2.67,20.67,4,2174,125,83.33,1.4000000000000001,74.1,150,0,100.0,0.0
SCIENCE,40,2530,4,85.0,19,6.1219475,0.0,1.0715000000000001,0036-8075,15.0,,Journal,MULTIDISCIPLINARY SCIENCES,47.5,56.9,Q1,9,23,0,22.5,57.5,6,2492,31,77.5,15.5,97.9,0,1,0.0,2.5
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,75,2443,5,94.67,74,4.454770666666667,0.0,1.6706666666666667,0027-8424,10.67,,Journal,MULTIDISCIPLINARY SCIENCES,98.67,11.1,Q1,11,30,0,14.67,40.0,8,2390,68,90.67,2.8000000000000003,89.7,0,49,0.0,65.33
JOURNAL OF SOUTH AMERICAN EARTH SCIENCES,528,2398,6,78.6,114,0.5006848484848485,0.0,1.0307765151515151,0895-9811,0.0,Elsevier (Unified),Journal,"GEOSCIENCES, MULTIDISCIPLINARY",21.59,1.8,Q3,0,5,0,0.0,0.95,0,1738,263,49.81,0.4,28.5,0,21,0.0,3.98
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,338,2338,7,82.25,310,0.8062233727810652,0.0,0.7216568047337278,0035-8711,0.3,Oxford University Press (Unified),Journal,ASTRONOMY & ASTROPHYSICS,91.72,4.8,Q1,1,20,0,0.3,5.92,1,1280,282,83.43,1.6,76.1,0,23,0.0,6.8
ASTRONOMY & ASTROPHYSICS,280,2114,8,85.0,280,0.7556232142857143,0.0,0.5613571428571429,0004-6361,0.0,,Journal,ASTRONOMY & ASTROPHYSICS,100.0,6.5,Q1,0,13,0,0.0,4.64,0,1439,217,77.5,1.8,87.7,0,87,0.0,31.07
JOURNAL OF HIGH ENERGY PHYSICS,216,2098,9,78.24,216,1.0585597222222223,0.0,0.7683333333333334,1029-8479,0.0,Springer Nature (Unified),Journal,"PHYSICS, PARTICLES & FIELDS",100.0,5.4,Q1,0,19,0,0.0,8.8,0,1485,179,82.87,1.9000000000000001,81.0,215,0,99.54,0.0
NATURE COMMUNICATIONS,98,2008,10,87.76,98,2.9326183673469384,0.0,0.7939795918367347,2041-1723,1.02,Springer Nature (Unified),Journal,MULTIDISCIPLINARY SCIENCES,100.0,16.6,Q1,3,45,0,3.06,45.92,1,1953,90,91.84,3.2,92.5,98,0,100.0,0.0
PLOS ONE,231,1913,11,83.98,231,0.8645164502164503,0.0,0.9651515151515152,1932-6203,0.43,,Journal,BIOLOGY;MULTIDISCIPLINARY SCIENCES,100.0,3.7,Q2,0,16,0,0.0,6.93,1,1856,141,61.04,0.6,65.1,230,0,99.57,0.0
