Name,Web of Science Documents,Times Cited,Rank,% Docs Cited,Category Normalized Citation Impact,% Documents in Top 1%,% Documents in Top 10%,% Highly Cited Papers,Highly Cited Papers,% Hot Papers,Documents in JIF Journals,Documents in Q1 Journals,% Documents in Q1 Journals,Documents in Top 1%,Documents in Top 10%,Hot Papers
ENVIRONMENTAL SCIENCES,2101,22443,1,83.53,0.8537807234650167,0.57,6.04,1.09,23,0.05,1676,809,48.27,12,127,1
ECOLOGY,1962,21940,2,79.2,1.2677804281345566,2.45,11.26,1.38,27,0.1,1525,536,35.15,48,221,2
BIOCHEMISTRY & MOLECULAR BIOLOGY,2019,19809,3,78.9,0.8421092620108965,0.59,6.34,0.89,18,0.0,1622,488,30.09,12,128,0
FOOD SCIENCE & TECHNOLOGY,1395,13476,4,82.22,0.8020453046594982,0.43,6.16,0.65,9,0.14,1148,587,51.13,6,86,2
PLANT SCIENCES,1936,13036,5,74.07,0.7799700413223142,0.67,5.37,1.24,24,0.05,1567,726,46.33,13,104,1
"CHEMISTRY, PHYSICAL",1465,12761,6,83.41,0.47856587030716724,0.2,1.77,0.34,5,0.0,1271,165,12.98,3,26,0
ASTRONOMY & ASTROPHYSICS,1444,11129,7,78.12,0.8277420360110804,0.48,6.58,0.28,4,0.0,1121,869,77.52,7,95,0
"GEOSCIENCES, MULTIDISCIPLINARY",1571,10824,8,80.9,0.7504667091024826,0.51,4.9,0.64,10,0.06,1324,270,20.39,8,77,1
CELL BIOLOGY,744,10715,9,82.66,0.8252276881720431,0.54,6.18,0.67,5,0.0,613,186,30.34,4,46,0
"MATERIALS SCIENCE, MULTIDISCIPLINARY",1422,10303,10,81.22,0.5647853727144867,0.0,2.11,0.0,0,0.0,1136,202,17.78,0,30,0
"CHEMISTRY, MULTIDISCIPLINARY",1033,9445,11,79.86,0.5584772507260407,0.0,3.1,0.39,4,0.0,848,170,20.05,0,32,0
MICROBIOLOGY,1110,8642,12,79.55,0.6916127027027027,0.27,4.32,0.27,3,0.0,890,252,28.31,3,48,0
NEUROSCIENCES,975,8391,13,73.85,0.8708580512820514,0.72,7.08,0.62,6,0.0,792,246,31.06,7,69,0
"PHYSICS, PARTICLES & FIELDS",778,8159,14,76.61,1.1247354755784063,0.9,10.15,0.77,6,0.0,593,395,66.61,7,79,0
BIODIVERSITY CONSERVATION,785,7390,15,77.07,1.0612226751592357,1.53,9.04,0.51,4,0.0,579,264,45.6,12,71,0
"CHEMISTRY, APPLIED",624,6524,16,85.42,0.697903685897436,0.0,4.33,0.0,0,0.0,545,308,56.51,0,27,0
PHARMACOLOGY & PHARMACY,887,6399,17,78.02,0.9853174746335964,0.45,6.99,0.68,6,0.11,666,284,42.64,4,62,1
"ENGINEERING, CHEMICAL",823,5859,18,80.92,0.5034346294046173,0.0,2.07,0.0,0,0.0,681,299,43.91,0,17,0
