Name,Rank,Web of Science Documents,Times Cited,JCI Quartile
PLOS ONE,1,13032,918701,Q1
SCIENTIFIC REPORTS,2,7665,405975,Q1
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,3,7479,1513177,Q1
MONTHLY NOTICES OF THE ROYAL ASTRONOMICAL SOCIETY,4,7112,528088,Q1
ASTROPHYSICAL JOURNAL,5,6196,571991,Q1
ASTRONOMY & ASTROPHYSICS,6,4941,383425,Q1
NATURE,7,4787,2788584,Q1
NATURE COMMUNICATIONS,8,4481,627624,Q1
SCIENCE,9,4222,2360938,Q1
PHYSICAL REVIEW LETTERS,10,3697,643024,Q1
SCIENCE OF THE TOTAL ENVIRONMENT,11,3661,302929,Q1
PHYSICAL REVIEW D,12,3389,269595,Q1
FOOD CHEMISTRY,13,3329,279505,Q1
PHYSICAL REVIEW B,14,3254,296431,Q2
JOURNAL OF BIOLOGICAL CHEMISTRY,15,2994,275889,Q2
JOURNAL OF HIGH ENERGY PHYSICS,16,2631,225363,Q1
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,17,2446,179988,Q2
JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,18,2218,531138,Q1
FRONTIERS IN MICROBIOLOGY,19,2185,156316,Q2
JOURNAL OF PHYSICAL CHEMISTRY C,20,2126,185716,Q2
FRONTIERS IN PLANT SCIENCE,21,2119,148359,Q1
CHEMOSPHERE,22,1948,163382,Q1
JOURNAL OF NEUROSCIENCE,23,1927,265856,Q1
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,24,1878,148567,Q1
NEW PHYTOLOGIST,25,1854,219634,Q1
CARBOHYDRATE POLYMERS,26,1775,172211,Q1
ZOOTAXA,27,1732,34266,Q3
RSC ADVANCES,28,1685,94978,Q2
CELL,29,1683,1115299,Q1
MOLECULES,30,1660,119536,Q2
NUCLEIC ACIDS RESEARCH,31,1639,810156,Q1
LWT-FOOD SCIENCE AND TECHNOLOGY,32,1600,83731,Q1
PLANT PHYSIOLOGY,33,1593,198298,Q1
FRONTIERS IN IMMUNOLOGY,34,1580,131024,Q1
